PROGNER EX for Java Servlet 2.3,,,,,,,,,,,,,,
ライブラリ参照（変更後）,,,,,,,,,,,,,【変更箇所を赤字で表示】　○：プロジェクトで参照必要、×：プロジェクトで参照不要なため削除,
,プロジェクト (*1)メインプロジェクト,,,,,,,,,,,,,
"prognerMasterProject/dependedLibs内
JARファイル
※網掛けのJARファイルは未使用","prognerCore
Common","prognerCore
Presentation","prognerCore
Presentation
Wicket","prognerCore
Dao","prognerCore
BizLogic","prognerCore
BizLogic
ElixirReport","prognerCore
BizLogic
IWFM","prognerAPTemplateDesktop
LikeBaseLib","prognerAPTemplateDesktop
LikeWeb(*1)","prognerAPTemplateDesktop
LikeApplet","prognerCore
SampleWeb(*1)","prognerSoltage
SampleWeb(*1)","prognerAPTemplate
SenchaWeb(*1)",
tomcat-api-7.0.47.jar                           ,,,,,,,,,,,,,,0
tomcat-catalina-7.0.47.jar [test],,,,×,,,,,,,,×,×,0
tomcat-dbcp-7.0.47.jar [test],,,,×,,,,,,,,,,0
tomcat-el-api-7.0.47.jar [test],×,,,,,,,,,,,,,0
tomcat-jasper-el-7.0.47.jar [test],×,,,,,,,,,,,,,0
tomcat-juli-7.0.47.jar [test],,,,×,,,,,,,,,,0
tomcat-servlet-api-7.0.47.jar                   ,,,×,,,,,,,,,,,0
tomcat-util-7.0.47.jar                          ,,,,,,,,,,,,,,0
validation-api-1.1.0.Final.jar                  ,×,,,,,,,,,,,,○,1
velocity-1.7.jar                                ,,,,,,,,,,,,,○,1
webservices-api-2.2.1-1.jar                     ,,,,,,,,,,,,,,0
webservices-rt-2.2.1-1.jar                      ,,,,,,,,,,,,,,0
wicket-1.4.22.jar                               ,,,○,,,,,,○,,○,○,,4
wicket-datetime-1.4.22.jar                      ,,,○,,,,,,○,,○,○,,4
wicket-extensions-1.4.22.jar                    ,,,○,,,,,,○,,○,○,,4
,3,5,6,4,2,3,2,3,9,4,8,9,14,
